Term,Course Category,Min ECTS Credits,Min SU Credits,Min Courses
Spring 2025-2026,University Courses,-,44,-
Spring 2025-2026,Required Courses,-,18,-
Spring 2025-2026,Mathematics Requirement Courses,-,3,-
Spring 2025-2026,Core Elective Courses,-,12,-
Spring 2025-2026,Area Elective Courses,-,18,-
Spring 2025-2026,Free Electives,-,30,-
Spring 2025-2026,Faculty Courses,-,-,5
Spring 2025-2026,Total,240,125,-
Fall 2025-2026,University Courses,-,44,-
Fall 2025-2026,Required Courses,-,18,-
Fall 2025-2026,Mathematics Requirement Courses,-,3,-
Fall 2025-2026,Core Elective Courses,-,12,-
Fall 2025-2026,Area Elective Courses,-,18,-
Fall 2025-2026,Free Electives,-,30,-
Fall 2025-2026,Faculty Courses,-,-,5
Fall 2025-2026,Total,240,125,-
Summer 2024-2025,University Courses,-,44,-
Summer 2024-2025,Required Courses,-,18,-
Summer 2024-2025,Mathematics Requirement Courses,-,3,-
Summer 2024-2025,Core Elective Courses,-,12,-
Summer 2024-2025,Area Elective Courses,-,18,-
Summer 2024-2025,Free Electives,-,30,-
Summer 2024-2025,Faculty Courses,-,-,5
Summer 2024-2025,Total,240,125,-
Spring 2024-2025,University Courses,-,44,-
Spring 2024-2025,Required Courses,-,18,-
Spring 2024-2025,Mathematics Requirement Courses,-,3,-
Spring 2024-2025,Core Elective Courses,-,12,-
Spring 2024-2025,Area Elective Courses,-,18,-
Spring 2024-2025,Free Electives,-,30,-
Spring 2024-2025,Faculty Courses,-,-,5
Spring 2024-2025,Total,240,125,-
Fall 2024-2025,University Courses,-,44,-
Fall 2024-2025,Required Courses,-,18,-
Fall 2024-2025,Mathematics Requirement Courses,-,3,-
Fall 2024-2025,Core Elective Courses,-,12,-
Fall 2024-2025,Area Elective Courses,-,18,-
Fall 2024-2025,Free Electives,-,30,-
Fall 2024-2025,Faculty Courses,-,-,5
Fall 2024-2025,Total,240,125,-
Summer 2023-2024,University Courses,-,44,-
Summer 2023-2024,Required Courses,-,18,-
Summer 2023-2024,Mathematics Requirement Courses,-,3,-
Summer 2023-2024,Core Elective Courses,-,12,-
Summer 2023-2024,Area Elective Courses,-,18,-
Summer 2023-2024,Free Electives,-,30,-
Summer 2023-2024,Faculty Courses,-,-,5
Summer 2023-2024,Total,240,125,-
Spring 2023-2024,University Courses,-,44,-
Spring 2023-2024,Required Courses,-,18,-
