Term,Course Category,Min ECTS Credits,Min SU Credits,Min Courses
Spring 2025-2026,University Courses,-,41,-
Spring 2025-2026,Required Courses,-,45,16
Spring 2025-2026,Core Electives,-,21,-
Spring 2025-2026,Area Electives,-,9,-
Spring 2025-2026,Free Electives,-,15,-
Spring 2025-2026,Engineering,90,-,-
Spring 2025-2026,Faculty Courses,-,-,5
Spring 2025-2026,Basic Science,60,-,-
Spring 2025-2026,Total,240,131,-
Fall 2025-2026,University Courses,-,41,-
Fall 2025-2026,Required Courses,-,45,16
Fall 2025-2026,Core Electives,-,21,-
Fall 2025-2026,Area Electives,-,9,-
Fall 2025-2026,Free Electives,-,15,-
Fall 2025-2026,Engineering,90,-,-
Fall 2025-2026,Faculty Courses,-,-,5
Fall 2025-2026,Basic Science,60,-,-
Fall 2025-2026,Total,240,131,-
Summer 2024-2025,University Courses,-,41,-
Summer 2024-2025,Required Courses,-,34,13
Summer 2024-2025,Core Electives,-,26,-
Summer 2024-2025,Area Electives,-,9,-
Summer 2024-2025,Free Electives,-,15,-
Summer 2024-2025,Engineering,90,-,-
Summer 2024-2025,Faculty Courses,-,-,5
Summer 2024-2025,Basic Science,60,-,-
Summer 2024-2025,Total,240,125,-
Spring 2024-2025,University Courses,-,41,-
Spring 2024-2025,Required Courses,-,34,13
Spring 2024-2025,Core Electives,-,26,-
Spring 2024-2025,Area Electives,-,9,-
Spring 2024-2025,Free Electives,-,15,-
Spring 2024-2025,Engineering,90,-,-
Spring 2024-2025,Faculty Courses,-,-,5
Spring 2024-2025,Basic Science,60,-,-
Spring 2024-2025,Total,240,125,-
Fall 2024-2025,University Courses,-,41,-
Fall 2024-2025,Required Courses,-,34,13
Fall 2024-2025,Core Electives,-,26,-
Fall 2024-2025,Area Electives,-,9,-
Fall 2024-2025,Free Electives,-,15,-
Fall 2024-2025,Engineering,90,-,-
Fall 2024-2025,Faculty Courses,-,-,5
Fall 2024-2025,Basic Science,60,-,-
Fall 2024-2025,Total,240,125,-
Summer 2023-2024,University Courses,-,41,-
Summer 2023-2024,Required Courses,-,34,13
Summer 2023-2024,Core Electives,-,26,-
Summer 2023-2024,Area Electives,-,9,-
Summer 2023-2024,Free Electives,-,15,-
Summer 2023-2024,Engineering,90,-,-
Summer 2023-2024,Faculty Courses,-,-,5
Summer 2023-2024,Basic Science,60,-,-
Summer 2023-2024,Total,240,125,-
Spring 2023-2024,University Courses,-,41,-
Spring 2023-2024,Required Courses,-,34,13
Spring 2023-2024,Core Electives,-,26,-
Spring 2023-2024,Area Electives,-,9,-
Spring 2023-2024,Free Electives,-,15,-
Spring 2023-2024,Engineering,90,-,-
Spring 2023-2024,Faculty Courses,-,-,5
Spring 2023-2024,Basic Science,60,-,-
Spring 2023-2024,Total,240,125,-
Fall 2023-2024,University Courses,-,41,-
Fall 2023-2024,Required Courses,-,34,13
Fall 2023-2024,Core Electives,-,26,-
Fall 2023-2024,Area Electives,-,9,-
Fall 2023-2024,Free Electives,-,15,-
Fall 2023-2024,Engineering,90,-,-
Fall 2023-2024,Faculty Courses,-,-,5
Fall 2023-2024,Basic Science,60,-,-
Fall 2023-2024,Total,240,125,-
Summer 2022-2023,University Courses,-,41,-
Summer 2022-2023,Required Courses,-,39,15
Summer 2022-2023,Core Electives,-,21,-
Summer 2022-2023,Area Electives,-,9,-
Summer 2022-2023,Free Electives,-,15,-
Summer 2022-2023,Engineering,90,-,-
Summer 2022-2023,Faculty Courses,-,-,5
Summer 2022-2023,Basic Science,60,-,-
Summer 2022-2023,Total,240,125,-
Spring 2022-2023,University Courses,-,41,-
Spring 2022-2023,Required Courses,-,39,15
Spring 2022-2023,Core Electives,-,21,-
Spring 2022-2023,Area Electives,-,9,-
Spring 2022-2023,Free Electives,-,15,-
Spring 2022-2023,Engineering,90,-,-
Spring 2022-2023,Faculty Courses,-,-,5
Spring 2022-2023,Basic Science,60,-,-
Spring 2022-2023,Total,240,125,-
Fall 2022-2023,University Courses,-,41,-
Fall 2022-2023,Required Courses,-,39,15
Fall 2022-2023,Core Electives,-,21,-
Fall 2022-2023,Area Electives,-,9,-
Fall 2022-2023,Free Electives,-,15,-
Fall 2022-2023,Engineering,90,-,-
Fall 2022-2023,Faculty Courses,-,-,5
Fall 2022-2023,Basic Science,60,-,-
Fall 2022-2023,Total,240,125,-
Summer 2021-2022,University Courses,-,41,-
Summer 2021-2022,Required Courses,-,39,15
Summer 2021-2022,Core Electives,-,21,-
Summer 2021-2022,Area Electives,-,9,-
Summer 2021-2022,Free Electives,-,15,-
Summer 2021-2022,Engineering,90,-,-
Summer 2021-2022,Faculty Courses,-,-,5
Summer 2021-2022,Basic Science,60,-,-
Summer 2021-2022,Total,240,125,-
Spring 2021-2022,University Courses,-,41,-
Spring 2021-2022,Required Courses,-,39,15
Spring 2021-2022,Core Electives,-,21,-
Spring 2021-2022,Area Electives,-,9,-
Spring 2021-2022,Free Electives,-,15,-
Spring 2021-2022,Engineering,90,-,-
Spring 2021-2022,Faculty Courses,-,-,5
Spring 2021-2022,Basic Science,60,-,-
Spring 2021-2022,Total,240,125,-
Fall 2021-2022,University Courses,-,41,-
Fall 2021-2022,Required Courses,-,39,15
Fall 2021-2022,Core Electives,-,21,-
Fall 2021-2022,Area Electives,-,9,-
Fall 2021-2022,Free Electives,-,15,-
Fall 2021-2022,Engineering,90,-,-
